UID          PID    PPID  C STIME TTY          TIME CMD
fusion      2999    2888  0 10:12 ?        00:00:01 /tmp/.mount_jetbrasQ5do3/jetbrains-toolbox-helper --type=renderer --no-sandbox --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --field-trial-handle=6634971166951245478,6638250213966279789,131072 --enable-features=CastMediaRouteProvider --disable-gpu-compositing --lang=en-US --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --resources-dir-path=/tmp/.mount_jetbrasQ5do3 --disable-extensions --disable-plugins --uncaught-exception-stack-size=16 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      3153    2613  1 10:12 ?        00:01:03 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=19 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      3576    2613  0 10:12 ?        00:00:27 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=32 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      4116    1473  0 10:12 ?        00:00:21 /snap/slack/40/usr/lib/slack/slack --no-sandbox --executed-from=/home/fusion --pid=4089
fusion      4565    4116  0 10:13 ?        00:00:00 /snap/slack/40/usr/lib/slack/slack --type=zygote --no-zygote-sandbox --no-sandbox
fusion      4566    4116  0 10:13 ?        00:00:00 /snap/slack/40/usr/lib/slack/slack --type=zygote --no-sandbox
fusion      4586    2598  0 10:13 ?        00:00:00 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --service-sandbox-type=none --shared-files=v8_context_snapshot_data:100
fusion      4634    4116  0 10:13 ?        00:00:03 /snap/slack/40/usr/lib/slack/slack --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=17668960946042197189,15550377059022489339,131072 --enable-features=WebComponentsV0Enabled --disable-features=CertVerifierService,CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,RequestInitiatorSiteLockEnfocement,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=en-US --service-sandbox-type=network --no-sandbox --enable-crash-reporter=8325fb8b-76a9-44a6-af45-ce2d65f0842b,no_channel --global-crash-keys=8325fb8b-76a9-44a6-af45-ce2d65f0842b,no_channel,_productName=Slack,_version=4.16.0 --standard-schemes=app,slack-webapp-dev --secure-schemes=app,slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --streaming-schemes --shared-files=v8_context_snapshot_data:100
fusion      4648    4565  0 10:13 ?        00:00:11 /snap/slack/40/usr/lib/slack/slack --type=gpu-process --field-trial-handle=17668960946042197189,15550377059022489339,131072 --enable-features=WebComponentsV0Enabled --disable-features=CertVerifierService,CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,RequestInitiatorSiteLockEnfocement,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --no-sandbox --enable-crash-reporter=8325fb8b-76a9-44a6-af45-ce2d65f0842b,no_channel --global-crash-keys=8325fb8b-76a9-44a6-af45-ce2d65f0842b,no_channel,_productName=Slack,_version=4.16.0 --gpu-preferences=UAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --use-gl=swiftshader-webgl --shared-files
fusion      4699    4566  3 10:13 ?        00:01:42 /snap/slack/40/usr/lib/slack/slack --type=renderer --no-sandbox --autoplay-policy=no-user-gesture-required --force-color-profile=srgb --field-trial-handle=17668960946042197189,15550377059022489339,131072 --enable-features=WebComponentsV0Enabled --disable-features=CertVerifierService,CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,RequestInitiatorSiteLockEnfocement,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --disable-gpu-compositing --lang=en-US --enable-crash-reporter=8325fb8b-76a9-44a6-af45-ce2d65f0842b,no_channel --global-crash-keys=8325fb8b-76a9-44a6-af45-ce2d65f0842b,no_channel,_productName=Slack,_version=4.16.0 --standard-schemes=app,slack-webapp-dev --secure-schemes=app,slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --streaming-schemes --app-path=/snap/slack/40/usr/lib/slack/resources/app.asar --enable-sandbox --enable-blink-features=EventTiming --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100 --window-type=main
fusion      4772    1473  0 10:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
fusion      4775    1699  0 10:13 ?        00:00:00 update-notifier
fusion      5517    2613  0 10:18 ?        00:00:05 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=72 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      5532    2613  0 10:18 ?        00:00:05 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=73 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      5558    2613  0 10:18 ?        00:00:02 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=75 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
